Algoritmo,Version,n,Ej1_ms,Ej2_ms,Ej3_ms,Ej4_ms,Ej5_ms
A1 - Factorial,Iterativo,5,1.431900,0.488500,0.008200,0.004800,0.004400
A1 - Factorial,Recursivo,5,0.027800,0.006200,0.005300,0.005000,0.005300
A1 - Factorial,Iterativo,10,0.028800,0.012800,0.010500,0.010600,0.010000
A1 - Factorial,Recursivo,10,0.012700,0.015400,0.010900,0.011200,0.014100
A1 - Factorial,Iterativo,15,0.032700,0.025200,0.015300,0.014900,0.015500
A1 - Factorial,Recursivo,15,0.018200,0.015800,0.015900,0.019200,0.013700
A1 - Factorial,Iterativo,20,0.036600,0.025500,0.025500,0.024300,0.027300
A1 - Factorial,Recursivo,20,0.057200,0.026700,0.025600,0.036800,0.026100
A1 - Factorial,Iterativo,25,0.055100,0.033700,0.061800,0.032900,0.033600
A1 - Factorial,Recursivo,25,0.037200,0.034400,0.036800,0.069200,0.053500
A1 - Factorial,Iterativo,30,0.054600,0.042600,0.040800,0.038200,0.040700
A1 - Factorial,Recursivo,30,0.060700,0.048200,0.040100,0.039000,0.056900
A2 - Fibonacci,Iterativo,5,0.862000,0.010200,0.000600,0.000300,0.000300
A2 - Fibonacci,Recursivo,5,0.009800,0.001500,0.001100,0.001100,0.001100
A2 - Fibonacci,Iterativo,10,0.002000,0.000500,0.000300,0.000400,0.000300
A2 - Fibonacci,Recursivo,10,0.011100,0.011100,0.017300,0.010400,0.010000
A2 - Fibonacci,Iterativo,15,0.002400,0.000700,0.000600,0.000500,0.000400
A2 - Fibonacci,Recursivo,15,0.133700,0.115500,0.120300,0.147200,0.117200
A2 - Fibonacci,Iterativo,20,0.001500,0.000600,0.000500,0.000500,0.000500
A2 - Fibonacci,Recursivo,20,1.026700,1.154200,1.037200,0.332200,0.075300
A2 - Fibonacci,Iterativo,25,0.001600,0.000800,0.000600,0.000600,0.000600
A2 - Fibonacci,Recursivo,25,0.545800,0.482800,0.548600,0.493300,0.502100
A2 - Fibonacci,Iterativo,30,0.002100,0.000900,0.000800,0.000800,0.000900
A2 - Fibonacci,Recursivo,30,6.058900,5.711700,6.001600,5.712100,5.476100
A3 - Busqueda Lineal,Iterativo,100,0.678400,0.001900,0.001100,0.001200,0.001100
A3 - Busqueda Lineal,Recursivo,100,0.009900,0.003200,0.005000,0.002900,0.002700
A3 - Busqueda Lineal,Iterativo,500,0.005000,0.004100,0.004100,0.005500,0.004400
A3 - Busqueda Lineal,Recursivo,500,0.041300,0.048600,0.011200,0.010800,0.010900
A3 - Busqueda Lineal,Iterativo,1000,0.012200,0.007700,0.007200,0.007700,0.007100
A3 - Busqueda Lineal,Recursivo,1000,0.018200,0.001900,0.001800,0.001900,0.001800
A3 - Busqueda Lineal,Iterativo,5000,0.038100,0.044800,0.038600,0.036400,0.036900
A3 - Busqueda Lineal,Recursivo,5000,0.102100,0.008800,0.009200,0.009100,0.008700
A3 - Busqueda Lineal,Iterativo,10000,0.102100,0.101300,0.097800,0.082500,0.065700
A3 - Busqueda Lineal,Recursivo,10000,0.079300,0.008100,0.007800,0.007900,0.007900
A4 - Burbuja,Iterativo,100,0.828400,0.191800,0.184300,0.199000,0.203000
A4 - Burbuja,Recursivo,100,0.166800,0.163600,0.172900,0.151000,0.162000
A4 - Burbuja,Iterativo,500,2.012300,0.459400,0.426900,0.423600,0.403300
A4 - Burbuja,Recursivo,500,0.470900,0.411400,0.440600,0.432700,0.410300
A4 - Burbuja,Iterativo,1000,1.331200,1.235700,1.172900,1.290900,1.202300
A4 - Burbuja,Recursivo,1000,2.262000,4.095900,3.642600,0.946400,0.793400
A4 - Burbuja,Iterativo,5000,18.889800,18.768600,18.151000,18.412200,19.402000
A4 - Burbuja,Recursivo,5000,19.973200,21.379600,20.257000,18.811000,21.735600
A4 - Burbuja,Iterativo,10000,126.903800,111.983400,113.800500,108.271100,102.285100
A4 - Burbuja,Recursivo,10000,93.272600,100.232500,91.830500,80.252800,84.569200
